,Year,Europe,EU
13,2013,24.2,22.1
14,2014,26.3,24.0
15,2015,30.1,27.4
16,2016,33.8,30.9
17,2017,37.3,34.3
18,2018,40.7,37.4
19,2019,45.0,41.5
20,2020,52.0,44.8
21,2021,54.5,46.7
22,2022,53.1,45.1
